DIGNIDAD_CODIGO|DIGNIDAD_NOMBRE|PROVINCIA_CODIGO|PROVINCIA_NOMBRE|CANTON_CODIGO|CANTON_NOMBRE|CIRCUNSCRIPCION_CODIGO|CICUNSCRIPCION_NOMBRE|CIRCUNSCRIPCION|PARROQUIA_CODIGO|PARROQUIA_NOMBRE|JUNTA_SEXO|CANDIDATO_CODIGO|SUFRAGANTES|BLANCOS|NULOS|VOTOS|CANDIDATO_NOMBRE|OP_CODIGO|OP_NOMBRE
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||5930.0|SAN BLAS|F|13581.0|9253.0|217.0|713.0|69.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||5930.0|SAN BLAS|M|13581.0|7919.0|189.0|626.0|91.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||6010.0|SAN SEBASTIAN|F|13581.0|14052.0|380.0|1084.0|101.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||6010.0|SAN SEBASTIAN|M|13581.0|12779.0|344.0|1009.0|108.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||6090.0|SUCRE|F|13581.0|9450.0|254.0|650.0|89.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||6090.0|SUCRE|M|13581.0|8452.0|198.0|551.0|81.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||6865.0|HERMANO MIGUEL|F|13581.0|4106.0|147.0|358.0|29.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0||6865.0|HERMANO MIGUEL|M|13581.0|3593.0|133.0|291.0|16.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|285.0|BAÑOS|F|13581.0|9734.0|579.0|823.0|73.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|285.0|BAÑOS|M|13581.0|8445.0|379.0|594.0|59.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|730.0|CUMBE|F|13581.0|2594.0|274.0|206.0|11.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|730.0|CUMBE|M|13581.0|1972.0|142.0|147.0|13.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|845.0|CHAUCHA / ANGAS|F|13581.0|504.0|135.0|36.0|5.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|845.0|CHAUCHA / ANGAS|M|13581.0|523.0|131.0|64.0|5.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|860.0|CHECA JIDCAY|F|13581.0|1088.0|124.0|88.0|4.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|860.0|CHECA JIDCAY|M|13581.0|867.0|83.0|63.0|5.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
